Time,Load (kW),Pressure_kpa,Cloud Cover (%),Humidity (%),Temperature (C) ,Wind Direction (deg),Wind Speed (kmh)
2017-03-18 00:00:00,1031471.62805707,1012.48,2.125,79.33333333333333,16.76438621745121,285.25,6.253750000000001
2017-03-18 01:00:00,1007205.57843707,1011.61875,0.0,82.16666666666666,15.72938621745121,285.0,9.205
2017-03-18 02:00:00,986108.4007170697,1010.72,2.125,81.66666666666667,15.81688621745121,316.0,11.28375
2017-03-18 03:00:00,970760.9669170699,1011.37625,17.125,82.25,15.91938621745121,327.0,7.168749999999999
2017-03-18 04:00:00,962258.3650170699,1011.5,18.625,82.33333333333334,15.76938621745122,282.25,0.78
2017-03-18 05:00:00,963847.9289570698,1011.03875,21.25,80.08333333333333,15.71188621745121,162.75,0.45125
2017-03-18 06:00:00,971662.2228370699,1011.445,40.875,79.16666666666667,15.37438621745121,260.75,3.185
2017-03-18 07:00:00,998667.4642770698,1011.5,44.0,81.41666666666667,13.50438621745121,231.75,3.985
2017-03-18 08:00:00,1060601.55717707,1011.86875,44.0,77.41666666666667,15.83188621745121,268.375,5.28125
2017-03-18 09:00:00,1141662.50979707,1013.41,44.0,74.33333333333333,19.36938621745121,289.375,7.133749999999999
2017-03-18 10:00:00,1195234.88093707,1013.54,44.0,74.33333333333333,21.59438621745121,285.625,14.72375
2017-03-18 11:00:00,1208175.00293707,1013.08625,44.0,76.25,22.38688621745121,279.375,16.63125
2017-03-18 12:00:00,1216409.31893707,1013.58875,44.0,77.91666666666666,21.39188621745122,270.75,13.36375
2017-03-18 13:00:00,1211771.52893707,1013.695,44.0,76.0,22.12938621745121,282.0,16.0625
2017-03-18 14:00:00,1216184.22893707,1013.695,44.0,78.16666666666666,20.23188621745122,275.5,16.92375
2017-03-18 15:00:00,1210429.86693707,1013.695,44.0,77.58333333333333,20.46688621745121,291.875,19.02125
2017-03-18 16:00:00,1200877.59753707,1013.695,44.0,77.66666666666666,19.83688621745121,289.0,19.22875
2017-03-18 17:00:00,1169031.23787707,1011.4275,44.0,79.91666666666667,19.56188621745121,272.25,17.79125
2017-03-18 18:00:00,1150271.29025707,1010.19875,44.0,81.66666666666667,18.61938621745121,265.75,14.075
2017-03-18 19:00:00,1126710.73273707,1010.315,44.0,82.58333333333334,17.84938621745122,270.0,14.98375
2017-03-18 20:00:00,1109004.81507707,1010.3175,44.0,83.25,17.69938621745121,277.875,9.07875
2017-03-18 21:00:00,1095988.83535707,1011.50375,44.0,86.41666666666667,17.22688621745121,277.875,10.22375
2017-03-18 22:00:00,1075547.20365707,1011.635,44.0,88.99999999999999,15.96188621745121,274.875,9.32
2017-03-18 23:00:00,1049039.52593707,1011.635,44.0,89.33333333333331,15.76188621745121,238.125,7.76875
2017-03-19 00:00:00,1021744.29423707,1011.635,44.0,89.66666666666666,15.50438621745121,245.875,7.27375
2017-03-19 01:00:00,999585.8825770697,1011.635,44.0,92.25,13.97438621745121,283.625,5.94
2017-03-19 02:00:00,977538.6448370698,1010.73375,44.0,92.58333333333334,13.75188621745122,127.5,6.3325
2017-03-19 03:00:00,966271.9690370698,1010.56,44.0,92.0,13.91688621745121,131.0,0.94375
2017-03-19 04:00:00,957773.5011170697,1010.64,44.0,92.58333333333334,13.75188621745122,131.0,0.0
2017-03-19 05:00:00,956473.4691170697,1010.51,44.0,92.25,13.72188621745121,149.0,0.46
2017-03-19 06:00:00,941449.4733370699,1011.22125,40.875,90.25,13.47188621745121,202.5,3.335
2017-03-19 07:00:00,935907.8093370697,1011.315,22.0,93.0,12.22188621745121,192.625,4.5725
2017-03-19 08:00:00,960497.5669170697,1011.72375,19.0,90.33333333333333,13.90938621745121,138.875,5.668749999999999
2017-03-19 09:00:00,987858.2005970697,1013.15625,16.5,81.00000000000001,17.34438621745122,131.75,7.99375
