"Temperature (C)","Pressure_kpa","Cloud Cover (%)","Wind Direction (deg)","Wind Speed (kmh)","Time"
15.7218862174512,1013,3,84,11,2021-02-11 08:00:00
17.7218862174512,1014,3,117,11,2021-02-11 09:00:00
17.7218862174512,1013,3,185,13,2021-02-11 10:00:00
19.7218862174512,1013,3,253,15,2021-02-11 11:00:00
19.7218862174512,1013,4,321,16,2021-02-11 12:00:00
19.7218862174512,1012,4,316,18,2021-02-11 13:00:00
19.7218862174512,1011,4,312,21,2021-02-11 14:00:00
17.7218862174512,1010,4,308,23,2021-02-11 15:00:00
17.7218862174512,1010,3,312,23,2021-02-11 16:00:00
17.7218862174512,1010,3,315,23,2021-02-11 17:00:00
17.7218862174512,1010,3,318,23,2021-02-11 18:00:00
15.7218862174512,1010,3,323,20,2021-02-11 19:00:00
13.7218862174512,1011,3,328,17,2021-02-11 20:00:00
11.7218862174512,1011,3,333,14,2021-02-11 21:00:00
9.72188621745121,1011,3,338,13,2021-02-11 22:00:00
9.72188621745121,1011,3,344,12,2021-02-11 23:00:00
7.72188621745121,1011,4,350,11,2021-02-12 00:00:00
9.72188621745121,1011,3,311,12,2021-02-12 01:00:00
11.7218862174512,1011,3,273,12,2021-02-12 02:00:00
13.7218862174512,1010,3,234,13,2021-02-12 03:00:00
13.7218862174512,1010,3,157,13,2021-02-12 04:00:00
13.7218862174512,1011,3,80,12,2021-02-12 05:00:00
11.7218862174512,1011,3,3,12,2021-02-12 06:00:00
13.7218862174512,1011,3,38,12,2021-02-12 07:00:00
