"Time","Load (kW)","Pressure_kpa","Cloud Cover (%)","Humidity (%)","Temperature (C)","Wind Direction (deg)","Wind Speed (kmh)"
2021-02-06 08:00:00,1074243.93213707,1015.45,12.25,63.6666666666667,10.4368862174512,61.5,11.1125
2021-02-06 09:00:00,1133327.93213707,1015.775,9.25,61.8333333333333,13.1468862174512,107.75,7.245
2021-02-06 10:00:00,1173720.93213707,1015.95,7,57.3333333333333,17.2668862174512,121,10.7
2021-02-06 11:00:00,1186714.93213707,1015.6,5.25,52.6666666666667,21.4168862174512,96,21.6475
2021-02-06 12:00:00,1181250.93213707,1014.775,1.75,52.8333333333333,22.3268862174512,87,15.9
2021-02-06 13:00:00,1170071.43213707,1013.45,9.5,52.1666666666667,23.5768862174512,72,14.015
2021-02-06 14:00:00,1169909.93213707,1012.325,18.25,52,24.2068862174512,83.25,18.855
2021-02-06 15:00:00,1166637.93213707,1011.75,44.5,51.3333333333333,23.5818862174512,79.75,21.63
2021-02-06 16:00:00,1159977.93213707,1011.65,44.5,57,23.0618862174512,241.75,15.4675
2021-02-06 17:00:00,1146372.43213707,1012.025,42.5,61.8333333333333,20.9518862174512,297.75,19.5425
2021-02-06 18:00:00,1145946.93213707,1012.275,29.25,65,16.8518862174512,314,18.49
2021-02-06 19:00:00,1131277.43213707,1012.825,43.75,67.3333333333333,15.7768862174512,336.5,14.21
2021-02-06 20:00:00,1106400.43213707,1013.475,21.25,67.6666666666667,14.1618862174512,343.25,18.6675
2021-02-06 21:00:00,1081677.93213707,1013.975,23.25,67.6666666666667,14.0718862174512,350.5,13.165
2021-02-06 22:00:00,1052514.43213707,1013.8,22.25,69.8333333333333,13.5768862174512,267.5,9.8425
2021-02-06 23:00:00,1037411.43213707,1013.775,25.25,70.1666666666667,12.3518862174512,46.75,4.375
2021-02-07 00:00:00,1014123.93213707,1013.5,33.25,72,9.02688621745121,23,11.4675
2021-02-07 01:00:00,997761.93213707,1012.85,34,72.1666666666667,9.09188621745121,28.75,10.52
2021-02-07 02:00:00,985700.43213707,1012.375,23,72,8.58688621745121,32.5,10.56
2021-02-07 03:00:00,978381.93213707,1012.1,16.25,60.5,12.6518862174512,43.5,12.8125
2021-02-07 04:00:00,975305.43213707,1012.05,17.75,60.6666666666667,12.1318862174512,56.75,11.22
2021-02-07 05:00:00,976049.43213707,1012.425,11.5,63.5,10.7518862174512,62.25,9.545
2021-02-07 06:00:00,982619.43213707,1013.175,17.75,63.6666666666667,10.8068862174512,48.75,11.4175
2021-02-07 07:00:00,984953.93213707,1014.075,20.25,66,8.57688621745121,64.75,12.3375
