"Temperature (C)","Pressure_kpa","Cloud Cover (%)","Wind Direction (deg)","Wind Speed (kmh)","Time"
13.7218862174512,1015,4,20,11,2021-01-21 08:00:00
13.7218862174512,1015,4,23,10,2021-01-21 09:00:00
15.7218862174512,1015,3,50,12,2021-01-21 10:00:00
15.7218862174512,1015,2,78,13,2021-01-21 11:00:00
17.7218862174512,1014,1,106,14,2021-01-21 12:00:00
17.7218862174512,1013,1,175,17,2021-01-21 13:00:00
15.7218862174512,1013,0,245,19,2021-01-21 14:00:00
15.7218862174512,1012,0,314,22,2021-01-21 15:00:00
13.7218862174512,1012,0,320,21,2021-01-21 16:00:00
11.7218862174512,1012,0,325,21,2021-01-21 17:00:00
11.7218862174512,1012,0,331,21,2021-01-21 18:00:00
7.72188621745121,1012,0,336,20,2021-01-21 19:00:00
3.72188621745121,1013,0,341,19,2021-01-21 20:00:00
1.72188621745121,1013,0,347,17,2021-01-21 21:00:00
1.72188621745121,1013,0,270,16,2021-01-21 22:00:00
3.72188621745121,1013,0,194,15,2021-01-21 23:00:00
3.72188621745121,1013,0,117,13,2021-01-22 00:00:00
5.72188621745121,1013,0,195,14,2021-01-22 01:00:00
9.72188621745121,1013,0,273,15,2021-01-22 02:00:00
11.7218862174512,1012,0,351,16,2021-01-22 03:00:00
11.7218862174512,1013,1,315,14,2021-01-22 04:00:00
11.7218862174512,1013,1,279,13,2021-01-22 05:00:00
11.7218862174512,1013,2,244,12,2021-01-22 06:00:00
13.7218862174512,1014,2,207,11,2021-01-22 07:00:00
