"Temperature (C)","Pressure_kpa","Cloud Cover (%)","Wind Direction (deg)","Wind Speed (kmh)","Time"
13.7218862174512,1012,3,74,12,2021-02-12 08:00:00
13.7218862174512,1013,3,110,12,2021-02-12 09:00:00
15.7218862174512,1012,3,179,13,2021-02-12 10:00:00
15.7218862174512,1012,3,249,14,2021-02-12 11:00:00
17.7218862174512,1012,3,318,15,2021-02-12 12:00:00
17.7218862174512,1011,2,313,17,2021-02-12 13:00:00
15.7218862174512,1010,2,307,19,2021-02-12 14:00:00
15.7218862174512,1009,2,302,21,2021-02-12 15:00:00
15.7218862174512,1009,1,303,19,2021-02-12 16:00:00
15.7218862174512,1009,1,304,18,2021-02-12 17:00:00
15.7218862174512,1009,0,305,17,2021-02-12 18:00:00
13.7218862174512,1010,0,307,16,2021-02-12 19:00:00
9.72188621745121,1010,0,310,15,2021-02-12 20:00:00
7.72188621745121,1011,0,312,13,2021-02-12 21:00:00
5.72188621745121,1011,1,281,14,2021-02-12 22:00:00
3.72188621745121,1011,2,250,14,2021-02-12 23:00:00
1.72188621745121,1011,2,219,14,2021-02-13 00:00:00
5.72188621745121,1010,3,148,13,2021-02-13 01:00:00
9.72188621745121,1010,3,77,12,2021-02-13 02:00:00
11.7218862174512,1009,4,6,10,2021-02-13 03:00:00
11.7218862174512,1009,3,9,10,2021-02-13 04:00:00
11.7218862174512,1010,3,13,9,2021-02-13 05:00:00
11.7218862174512,1010,3,16,8,2021-02-13 06:00:00
13.7218862174512,1010,3,53,8,2021-02-13 07:00:00
