"Temperature (C)","Pressure_kpa","Cloud Cover (%)","Wind Direction (deg)","Wind Speed (kmh)","Time"
13.7218862174512,1014,2,170,10,2021-01-22 08:00:00
13.7218862174512,1015,2,133,9,2021-01-22 09:00:00
13.7218862174512,1015,2,198,11,2021-01-22 10:00:00
15.7218862174512,1014,1,264,13,2021-01-22 11:00:00
15.7218862174512,1014,1,330,15,2021-01-22 12:00:00
13.7218862174512,1013,1,326,18,2021-01-22 13:00:00
13.7218862174512,1012,1,322,22,2021-01-22 14:00:00
11.7218862174512,1012,1,319,25,2021-01-22 15:00:00
11.7218862174512,1012,1,322,25,2021-01-22 16:00:00
11.7218862174512,1012,0,326,24,2021-01-22 17:00:00
9.72188621745121,1012,0,329,23,2021-01-22 18:00:00
7.72188621745121,1012,0,298,21,2021-01-22 19:00:00
5.72188621745121,1013,0,266,18,2021-01-22 20:00:00
3.72188621745121,1013,0,234,15,2021-01-22 21:00:00
3.72188621745121,1013,0,163,14,2021-01-22 22:00:00
5.72188621745121,1013,0,92,12,2021-01-22 23:00:00
7.72188621745121,1013,0,20,11,2021-01-23 00:00:00
9.72188621745121,1012,0,17,12,2021-01-23 01:00:00
9.72188621745121,1012,0,14,12,2021-01-23 02:00:00
11.7218862174512,1012,0,11,13,2021-01-23 03:00:00
11.7218862174512,1012,0,15,14,2021-01-23 04:00:00
9.72188621745121,1012,0,18,15,2021-01-23 05:00:00
9.72188621745121,1013,0,22,16,2021-01-23 06:00:00
9.72188621745121,1013,0,34,14,2021-01-23 07:00:00
