"Temperature (C)","Pressure_kpa","Cloud Cover (%)","Wind Direction (deg)","Wind Speed (kmh)","Time"
13.7218862174512,1015,7,54,8,2021-01-20 08:00:00
13.7218862174512,1015,7,60,7,2021-01-20 09:00:00
15.7218862174512,1015,7,90,8,2021-01-20 10:00:00
17.7218862174512,1014,6,119,9,2021-01-20 11:00:00
19.7218862174512,1014,6,148,9,2021-01-20 12:00:00
19.7218862174512,1013,5,202,12,2021-01-20 13:00:00
19.7218862174512,1013,5,255,14,2021-01-20 14:00:00
19.7218862174512,1012,4,308,17,2021-01-20 15:00:00
17.7218862174512,1012,3,312,17,2021-01-20 16:00:00
15.7218862174512,1012,3,315,17,2021-01-20 17:00:00
13.7218862174512,1012,2,319,17,2021-01-20 18:00:00
11.7218862174512,1012,3,297,14,2021-01-20 19:00:00
7.72188621745121,1013,4,275,12,2021-01-20 20:00:00
5.72188621745121,1013,5,253,9,2021-01-20 21:00:00
3.72188621745121,1013,5,190,8,2021-01-20 22:00:00
3.72188621745121,1013,5,128,7,2021-01-20 23:00:00
3.72188621745121,1013,4,65,6,2021-01-21 00:00:00
7.72188621745121,1013,4,56,7,2021-01-21 01:00:00
9.72188621745121,1013,5,48,8,2021-01-21 02:00:00
13.7218862174512,1013,5,39,8,2021-01-21 03:00:00
11.7218862174512,1013,5,31,10,2021-01-21 04:00:00
11.7218862174512,1013,5,23,11,2021-01-21 05:00:00
11.7218862174512,1014,5,15,13,2021-01-21 06:00:00
11.7218862174512,1014,4,17,12,2021-01-21 07:00:00
