"Temperature (C)","Pressure_kpa","Cloud Cover (%)","Wind Direction (deg)","Wind Speed (kmh)","Time"
17.7218862174512,1014,7,105,6,2021-02-08 08:00:00
17.7218862174512,1015,5,127,6,2021-02-08 09:00:00
19.7218862174512,1015,5,152,7,2021-02-08 10:00:00
19.7218862174512,1014,5,176,8,2021-02-08 11:00:00
21.7218862174512,1014,5,200,9,2021-02-08 12:00:00
21.7218862174512,1013,6,225,12,2021-02-08 13:00:00
19.7218862174512,1012,6,250,15,2021-02-08 14:00:00
19.7218862174512,1011,7,275,18,2021-02-08 15:00:00
19.7218862174512,1011,8,288,17,2021-02-08 16:00:00
17.7218862174512,1011,8,300,16,2021-02-08 17:00:00
17.7218862174512,1011,8,313,15,2021-02-08 18:00:00
17.7218862174512,1012,8,286,14,2021-02-08 19:00:00
17.7218862174512,1012,8,258,12,2021-02-08 20:00:00
15.7218862174512,1013,7,231,11,2021-02-08 21:00:00
15.7218862174512,1013,8,162,10,2021-02-08 22:00:00
15.7218862174512,1013,8,94,10,2021-02-08 23:00:00
15.7218862174512,1013,9,25,9,2021-02-09 00:00:00
15.7218862174512,1012,9,25,9,2021-02-09 01:00:00
13.7218862174512,1012,10,26,10,2021-02-09 02:00:00
13.7218862174512,1011,10,26,10,2021-02-09 03:00:00
13.7218862174512,1011,9,23,11,2021-02-09 04:00:00
13.7218862174512,1012,8,21,12,2021-02-09 05:00:00
13.7218862174512,1012,8,18,13,2021-02-09 06:00:00
13.7218862174512,1012,7,63,10,2021-02-09 07:00:00
