"Time","Load (kW)","Pressure_kpa","Cloud Cover (%)","Humidity (%)","Temperature (C)","Wind Direction (deg)","Wind Speed (kmh)"
2021-01-19 08:00:00,1123151.43213707,1015.65,21.5,63.3333333333333,11.1268862174512,83.75,11.085
2021-01-19 09:00:00,1196635.93213707,1016.35,22.75,59.6666666666667,16.2968862174512,111.5,2.4875
2021-01-19 10:00:00,1239865.93213707,1016.75,22.75,55.8333333333333,21.1568862174512,99.5,9.34
2021-01-19 11:00:00,1250477.93213707,1016.3,22.5,54.3333333333333,23.6568862174512,84.75,12.6775
2021-01-19 12:00:00,1246598.43213707,1015.325,27,51,25.2518862174512,42.25,14.445
2021-01-19 13:00:00,1236429.43213707,1014.3,27,50.1666666666667,26.6618862174512,89.5,16.1775
2021-01-19 14:00:00,1242167.43213707,1013.3,19.25,49,26.3568862174512,36.5,16.3
2021-01-19 15:00:00,1238717.93213707,1012.8,10.5,48.3333333333333,26.4818862174512,212.5,7.975
2021-01-19 16:00:00,1227064.43213707,1012.575,3.75,47.3333333333333,27.3218862174512,338.25,4.6125
2021-01-19 17:00:00,1208425.43213707,1012.6,11.5,56.5,23.1518862174512,277.25,12.015
2021-01-19 18:00:00,1180206.43213707,1013.025,8.75,69.1666666666667,16.9518862174512,295.5,13.6175
2021-01-19 19:00:00,1148609.93213707,1013.875,8,68.3333333333333,15.3718862174512,325,11.92
2021-01-19 20:00:00,1114182.93213707,1014.45,16.5,69.3333333333333,13.6618862174512,178,8.8675
2021-01-19 21:00:00,1083262.43213707,1015,25,71.5,12.1768862174512,333,9.18
2021-01-19 22:00:00,1040727.93213707,1014.925,28.5,72.1666666666667,11.9568862174512,47.75,6.0675
2021-01-19 23:00:00,1007199.43213707,1014.85,27.25,69.5,11.9668862174512,349.5,9.5725
2021-01-20 00:00:00,1006014.43213707,1014.525,34.5,69,10.5018862174512,310,7.34
2021-01-20 01:00:00,991381.43213707,1013.875,37.75,72,8.94688621745122,74.75,1.92
2021-01-20 02:00:00,979452.93213707,1013.45,26.25,70.1666666666667,8.68688621745121,63.5,2.2075
2021-01-20 03:00:00,972410.43213707,1013.15,23,71.6666666666667,8.28688621745122,58.5,2.2775
2021-01-20 04:00:00,970908.93213707,1013.025,25,78.3333333333333,5.31188621745121,45.75,2.765
2021-01-20 05:00:00,981331.43213707,1013.075,25.75,78,6.20688621745121,71.75,6.755
2021-01-20 06:00:00,999698.93213707,1013.625,25.75,76.6666666666667,5.99188621745121,42,3.92
2021-01-20 07:00:00,1047699.93213707,1014.325,24,77.6666666666667,4.89188621745121,70.5,3.8
