"Temperature (C)","Pressure_kpa","Cloud Cover (%)","Wind Direction (deg)","Wind Speed (kmh)","Time"
15.7218862174512,1015,4,67,12,2021-02-06 08:00:00
15.7218862174512,1016,0,67,12,2021-02-06 09:00:00
17.7218862174512,1016,1,102,11,2021-02-06 10:00:00
19.7218862174512,1015,2,136,11,2021-02-06 11:00:00
21.7218862174512,1015,4,171,10,2021-02-06 12:00:00
19.7218862174512,1014,7,222,10,2021-02-06 13:00:00
19.7218862174512,1013,10,274,10,2021-02-06 14:00:00
19.7218862174512,1012,13,326,10,2021-02-06 15:00:00
17.7218862174512,1012,14,322,13,2021-02-06 16:00:00
17.7218862174512,1012,15,319,17,2021-02-06 17:00:00
15.7218862174512,1013,17,316,20,2021-02-06 18:00:00
13.7218862174512,1013,16,323,19,2021-02-06 19:00:00
13.7218862174512,1013,16,331,18,2021-02-06 20:00:00
13.7218862174512,1014,16,338,18,2021-02-06 21:00:00
13.7218862174512,1014,15,310,16,2021-02-06 22:00:00
13.7218862174512,1014,14,283,14,2021-02-06 23:00:00
13.7218862174512,1014,13,255,13,2021-02-07 00:00:00
13.7218862174512,1013,11,190,12,2021-02-07 01:00:00
13.7218862174512,1013,9,124,12,2021-02-07 02:00:00
13.7218862174512,1012,7,59,11,2021-02-07 03:00:00
13.7218862174512,1013,6,62,12,2021-02-07 04:00:00
13.7218862174512,1013,6,64,12,2021-02-07 05:00:00
13.7218862174512,1013,6,67,12,2021-02-07 06:00:00
13.7218862174512,1014,5,66,12,2021-02-07 07:00:00
