"Temperature (C)","Pressure_kpa","Cloud Cover (%)","Wind Direction (deg)","Wind Speed (kmh)","Time"
15.7218862174512,1014,5,66,12,2021-02-07 08:00:00
17.7218862174512,1015,4,65,13,2021-02-07 09:00:00
19.7218862174512,1015,5,98,12,2021-02-07 10:00:00
21.7218862174512,1014,5,130,10,2021-02-07 11:00:00
23.7218862174512,1014,5,163,9,2021-02-07 12:00:00
23.7218862174512,1013,6,220,9,2021-02-07 13:00:00
23.7218862174512,1012,7,278,9,2021-02-07 14:00:00
23.7218862174512,1011,9,335,9,2021-02-07 15:00:00
21.7218862174512,1011,10,335,12,2021-02-07 16:00:00
19.7218862174512,1011,12,336,15,2021-02-07 17:00:00
17.7218862174512,1011,13,337,19,2021-02-07 18:00:00
17.7218862174512,1012,14,340,17,2021-02-07 19:00:00
17.7218862174512,1012,14,343,16,2021-02-07 20:00:00
15.7218862174512,1013,15,346,14,2021-02-07 21:00:00
15.7218862174512,1013,14,309,13,2021-02-07 22:00:00
15.7218862174512,1013,14,273,12,2021-02-07 23:00:00
15.7218862174512,1013,13,236,11,2021-02-08 00:00:00
15.7218862174512,1013,13,165,11,2021-02-08 01:00:00
13.7218862174512,1013,13,93,10,2021-02-08 02:00:00
13.7218862174512,1012,12,22,9,2021-02-08 03:00:00
13.7218862174512,1013,12,35,9,2021-02-08 04:00:00
13.7218862174512,1013,12,48,8,2021-02-08 05:00:00
13.7218862174512,1013,12,62,7,2021-02-08 06:00:00
15.7218862174512,1014,10,84,7,2021-02-08 07:00:00
