"Temperature (C)","Pressure_kpa","Cloud Cover (%)","Wind Direction (deg)","Wind Speed (kmh)","Time"
17.7218862174512,1012,0,95,6,2021-01-29 08:00:00
17.7218862174512,1013,0,131,6,2021-01-29 09:00:00
19.7218862174512,1013,0,193,7,2021-01-29 10:00:00
19.7218862174512,1012,0,255,8,2021-01-29 11:00:00
19.7218862174512,1012,0,317,9,2021-01-29 12:00:00
19.7218862174512,1011,0,312,12,2021-01-29 13:00:00
17.7218862174512,1010,0,306,15,2021-01-29 14:00:00
17.7218862174512,1010,0,301,18,2021-01-29 15:00:00
15.7218862174512,1010,0,308,18,2021-01-29 16:00:00
15.7218862174512,1010,0,315,17,2021-01-29 17:00:00
15.7218862174512,1010,0,322,16,2021-01-29 18:00:00
13.7218862174512,1011,0,325,14,2021-01-29 19:00:00
11.7218862174512,1011,0,328,12,2021-01-29 20:00:00
9.72188621745121,1012,0,330,10,2021-01-29 21:00:00
7.72188621745121,1012,0,264,9,2021-01-29 22:00:00
7.72188621745121,1012,0,198,8,2021-01-29 23:00:00
7.72188621745121,1012,0,132,6,2021-01-30 00:00:00
9.72188621745121,1012,1,166,7,2021-01-30 01:00:00
11.7218862174512,1012,1,199,8,2021-01-30 02:00:00
15.7218862174512,1011,2,232,9,2021-01-30 03:00:00
13.7218862174512,1012,2,157,9,2021-01-30 04:00:00
13.7218862174512,1012,2,81,9,2021-01-30 05:00:00
11.7218862174512,1012,2,6,10,2021-01-30 06:00:00
13.7218862174512,1013,2,42,9,2021-01-30 07:00:00
